update,episode,actor_loss,critic_loss,timestamp
1,4,7.450580596923828e-09,1.0035555642098188,2025-06-20 21:13:32
2,8,1.862645149230957e-09,1.0005960911512375,2025-06-20 21:16:29
3,12,-1.4901161193847656e-08,0.999889925122261,2025-06-20 21:19:26
4,16,-1.1175870895385742e-08,0.9997744560241699,2025-06-20 21:22:24
5,20,0.0,1.002339094877243,2025-06-20 21:25:20
6,24,-3.725290298461914e-09,1.0013899952173233,2025-06-20 21:28:13
7,28,1.1175870895385742e-08,1.0017685890197754,2025-06-20 21:31:06
8,32,-1.1175870895385742e-08,1.0005929730832577,2025-06-20 21:33:59
9,36,1.4901161193847656e-08,1.000095322728157,2025-06-20 21:36:51
10,40,-7.450580596923828e-09,0.9990746453404427,2025-06-20 21:39:45
11,44,-7.450580596923828e-09,1.0021868348121643,2025-06-20 21:42:38
12,48,7.450580596923828e-09,1.0008306354284286,2025-06-20 21:45:31
13,52,2.7939677238464355e-09,0.9996529966592789,2025-06-20 21:48:23
14,56,7.450580596923828e-09,1.0008738040924072,2025-06-20 21:51:15
15,60,3.725290298461914e-09,0.9998065158724785,2025-06-20 21:54:09
16,64,7.450580596923828e-09,1.0009911432862282,2025-06-20 21:57:02
17,68,0.0,1.0019014663994312,2025-06-20 21:59:55
18,72,-5.587935447692871e-09,0.9994424674659967,2025-06-20 22:02:47
19,76,0.0,1.0040998607873917,2025-06-20 22:05:39
20,80,-3.725290298461914e-09,0.9997338503599167,2025-06-20 22:08:31
21,84,0.0,1.0009915456175804,2025-06-20 22:11:25
22,88,2.2351741790771484e-08,1.0000161528587341,2025-06-20 22:14:18
23,92,0.0,1.0023272559046745,2025-06-20 22:17:21
24,96,-2.9802322387695312e-08,1.000484824180603,2025-06-20 22:20:14
25,100,3.725290298461914e-09,1.0008032992482185,2025-06-20 22:23:07
26,104,-2.2351741790771484e-08,1.000889515504241,2025-06-20 22:25:59
