update,episode,actor_loss,critic_loss,timestamp
1,1,-0.20202551782131195,0.040922150015830994,2025-06-25 19:34:02
2,2,-0.1496117115020752,0.02255409210920334,2025-06-25 19:34:37
3,3,-0.07345226407051086,0.016249526292085648,2025-06-25 19:35:12
4,4,0.14599786698818207,0.022295866161584854,2025-06-25 19:35:47
5,5,-0.1252579689025879,0.04730245843529701,2025-06-25 19:36:22
6,6,-0.21951940655708313,0.11574512720108032,2025-06-25 19:37:12
7,7,0.018168553709983826,0.017774278298020363,2025-06-25 19:37:47
8,8,0.11970826983451843,0.022917186841368675,2025-06-25 19:38:22
9,9,0.1670108437538147,0.029688097536563873,2025-06-25 19:38:57
10,10,0.07866716384887695,0.03276827186346054,2025-06-25 19:39:32
