update,episode,actor_loss,critic_loss,timestamp
1,1,-0.19097602367401123,0.036504633724689484,2025-06-25 19:52:48
2,2,-0.1488472819328308,0.022308573126792908,2025-06-25 19:53:23
3,3,0.06648111343383789,0.027742788195610046,2025-06-25 19:53:58
4,4,0.15895268321037292,0.027024416252970695,2025-06-25 19:54:34
5,5,0.09883473813533783,0.019275303930044174,2025-06-25 19:55:09
6,6,0.154302716255188,0.026206307113170624,2025-06-25 19:55:44
7,7,0.15788030624389648,0.025158852338790894,2025-06-25 19:56:19
8,8,0.1179867759346962,0.014892032369971275,2025-06-25 19:56:54
9,9,0.05309772863984108,0.009719542227685452,2025-06-25 19:57:29
10,10,0.0635790154337883,0.006897269748151302,2025-06-25 19:58:04
11,11,0.07556945830583572,0.007925118319690228,2025-06-25 19:58:39
12,12,0.06245506927371025,0.005081512499600649,2025-06-25 19:59:15
13,13,-0.06330369412899017,0.013271411880850792,2025-06-25 19:59:50
14,14,-0.05289151519536972,0.028156723827123642,2025-06-25 20:00:25
15,15,-0.04463475942611694,0.027321046218276024,2025-06-25 20:01:01
16,16,0.12272976338863373,0.022085323929786682,2025-06-25 20:01:36
17,17,0.18357667326927185,1.4878735542297363,2025-06-25 20:02:11
18,18,-0.5708139538764954,0.577738344669342,2025-06-25 20:02:50
19,19,0.09525451809167862,0.012179184705018997,2025-06-25 20:03:26
20,20,-0.2718149721622467,0.1592075228691101,2025-06-25 20:04:01
21,21,-0.5738140344619751,0.8463675379753113,2025-06-25 20:04:36
22,22,-0.34726470708847046,0.3270244598388672,2025-06-25 20:05:11
23,23,0.11304725706577301,0.01574307307600975,2025-06-25 20:05:46
24,24,-0.5724306702613831,0.6486091613769531,2025-06-25 20:06:25
25,25,-0.1004483625292778,0.05653773620724678,2025-06-25 20:07:00
26,26,0.14083226025104523,0.022560609504580498,2025-06-25 20:07:35
27,27,0.14888525009155273,0.023689614608883858,2025-06-25 20:08:10
28,28,0.11585375666618347,0.013992562890052795,2025-06-25 20:08:45
29,29,0.10411855578422546,0.01363028772175312,2025-06-25 20:09:19
30,30,0.16578274965286255,0.02414843998849392,2025-06-25 20:09:54
31,31,0.1360161304473877,0.015556925907731056,2025-06-25 20:10:29
32,32,0.08566860109567642,0.008279193192720413,2025-06-25 20:11:04
33,33,0.02613683044910431,0.0018503885949030519,2025-06-25 20:11:39
34,34,-0.043589167296886444,0.011788721196353436,2025-06-25 20:12:14
35,35,-0.0991114005446434,0.02089815028011799,2025-06-25 20:12:49
36,36,0.026752524077892303,0.0025775893591344357,2025-06-25 20:13:23
37,37,-0.055018067359924316,0.030907906591892242,2025-06-25 20:13:58
38,38,-0.9314539432525635,2.029933452606201,2025-06-25 20:14:43
39,39,-0.8703295588493347,1.0697166919708252,2025-06-25 20:15:18
40,40,-0.0246906615793705,0.011133363470435143,2025-06-25 20:15:53
41,41,0.023877449333667755,0.005552079528570175,2025-06-25 20:16:28
42,42,-0.10712908953428268,0.06753160804510117,2025-06-25 20:17:03
43,43,0.06736855208873749,0.005781272426247597,2025-06-25 20:17:38
44,44,0.09933779388666153,0.010107263922691345,2025-06-25 20:18:12
45,45,-0.04087803140282631,0.008468900807201862,2025-06-25 20:18:47
46,46,-0.17178423702716827,0.0802842378616333,2025-06-25 20:19:22
47,47,0.10132618993520737,0.01045918557792902,2025-06-25 20:19:57
48,48,-0.00010433420538902283,0.011456318199634552,2025-06-25 20:20:31
49,49,0.015535015612840652,0.005465246271342039,2025-06-25 20:21:06
50,50,0.09370734542608261,0.008937930688261986,2025-06-25 20:21:41
51,51,0.08573485910892487,0.007472749333828688,2025-06-25 20:22:16
52,52,0.08153440058231354,0.008788167499005795,2025-06-25 20:22:50
53,53,-0.6394052505493164,0.7585527896881104,2025-06-25 20:23:25
54,54,-0.055100686848163605,0.030795998871326447,2025-06-25 20:24:00
55,55,0.016005629673600197,0.012254404835402966,2025-06-25 20:24:35
56,56,0.08116255700588226,0.011211839504539967,2025-06-25 20:25:10
57,57,0.040339164435863495,0.005379391368478537,2025-06-25 20:25:45
58,58,-0.34080541133880615,0.4952400028705597,2025-06-25 20:26:19
